variant,model,outer_seed,outer_fold,n_train,rmse,rmse_excl_1299,best_alpha,best_epsilon
D_huber_keep_all,Huber,0,1,1168,0.20196508128000157,0.11018613384637979,300.0,2.0
D_huber_keep_all,Huber,0,2,1168,0.10895945477757257,0.10895945477757257,30.0,2.0
D_huber_keep_all,Huber,0,3,1168,0.1780817062159868,0.1780817062159868,100.0,2.0
D_huber_keep_all,Huber,0,4,1168,0.10796172146846336,0.10796172146846336,300.0,2.0
D_huber_keep_all,Huber,0,5,1168,0.1063075254401421,0.1063075254401421,300.0,3.0
D_huber_keep_all,Huber,4,1,1168,0.10898186590420389,0.10898186590420389,300.0,5.0
D_huber_keep_all,Huber,4,2,1168,0.11797247610884089,0.11797247610884089,300.0,3.0
D_huber_keep_all,Huber,4,3,1168,0.22879689415035584,0.16299809955717556,100.0,2.0
D_huber_keep_all,Huber,4,4,1168,0.11183027465576136,0.11183027465576136,300.0,5.0
D_huber_keep_all,Huber,4,5,1168,0.1018594407338511,0.1018594407338511,100.0,2.0
D_huber_keep_all,Huber,42,1,1168,0.12837317323093028,0.12837317323093028,100.0,3.0
D_huber_keep_all,Huber,42,2,1168,0.11423899346198393,0.11423899346198393,100.0,3.0
D_huber_keep_all,Huber,42,3,1168,0.22299297978367244,0.14847363226461607,300.0,3.0
D_huber_keep_all,Huber,42,4,1168,0.11592212666957165,0.11592212666957165,100.0,3.0
D_huber_keep_all,Huber,42,5,1168,0.10449694287929559,0.10449694287929559,300.0,2.0
