outer_seed,outer_fold,rmse,best_alpha,best_epsilon
0,1,0.20196508128000157,300.0,2.0
0,2,0.10895945477757257,30.0,2.0
0,3,0.1780817062159868,100.0,2.0
0,4,0.10796172146846336,300.0,2.0
0,5,0.1063075254401421,300.0,3.0
4,1,0.10557807985977888,300.0,3.0
4,2,0.11797247610884089,300.0,3.0
4,3,0.22879689415035584,100.0,2.0
4,4,0.11107514013161839,300.0,3.0
4,5,0.1018594407338511,100.0,2.0
42,1,0.12837317323093028,100.0,3.0
42,2,0.11423899346198393,100.0,3.0
42,3,0.22299297978367244,300.0,3.0
42,4,0.11592212666957165,100.0,3.0
42,5,0.10449694287929559,300.0,2.0
