outer_seed,outer_fold,rmse,best_alpha,best_epsilon
0,1,0.2185385502522855,3.0,2.0
0,2,0.11909747765682988,3.0,2.0
0,3,0.19907061916176194,3.0,2.0
0,4,0.11612019362268397,3.0,2.0
0,5,0.10593006007959536,3.0,2.0
4,1,0.13171114124899552,3.0,9.0
4,2,0.12260284578902314,3.0,2.0
4,3,0.22950875724202235,3.0,3.0
4,4,0.1213931217871104,3.0,2.0
4,5,0.11637267555322547,3.0,2.0
42,1,0.12532900828617896,3.0,2.0
42,2,0.12183175867247929,3.0,3.0
42,3,0.22957910989441432,3.0,2.0
42,4,0.15069754149089581,0.1,2.0
42,5,0.11117576869149316,3.0,2.0
