variant,model,outer_seed,outer_fold,n_train,rmse,rmse_excl_1299,best_alpha,nonzero
B_drop2_partial,Lasso,0,1,1167,0.20293004301191228,0.1121259279348488,0.0003,133
B_drop2_partial,Lasso,0,2,1166,0.10293664881381838,0.10293664881381838,0.001,77
B_drop2_partial,Lasso,0,3,1167,0.18219630714894347,0.18219630714894347,0.001,64
B_drop2_partial,Lasso,0,4,1166,0.10623531812083764,0.10623531812083764,0.001,81
B_drop2_partial,Lasso,0,5,1166,0.10290458771266181,0.10290458771266181,0.001,73
B_drop2_partial,Lasso,4,1,1166,0.10705270336165822,0.10705270336165822,0.001,75
B_drop2_partial,Lasso,4,2,1166,0.11535074962318329,0.11535074962318329,0.001,74
B_drop2_partial,Lasso,4,3,1168,0.23422444218223148,0.165591888959153,0.001,75
B_drop2_partial,Lasso,4,4,1166,0.11052037205070449,0.11052037205070449,0.001,71
B_drop2_partial,Lasso,4,5,1166,0.10387851581457531,0.10387851581457531,0.001,74
B_drop2_partial,Lasso,42,1,1166,0.1297838891287481,0.1297838891287481,0.001,67
B_drop2_partial,Lasso,42,2,1166,0.11384117027174441,0.11384117027174441,0.001,76
B_drop2_partial,Lasso,42,3,1168,0.2265325267767406,0.1519341682323969,0.001,71
B_drop2_partial,Lasso,42,4,1166,0.1156094457570534,0.1156094457570534,0.001,77
B_drop2_partial,Lasso,42,5,1166,0.10501563454646917,0.10501563454646917,0.001,76
