variant,model,outer_seed,outer_fold,n_train,rmse,rmse_excl_1299
D_huber_keep_all,Huber,0,1,1168,0.23853810017516136,0.15894967460389683
E_partial_area_int,ElasticNet,0,1,1168,0.19009819912283332,0.11412843527694519
E_partial_area_int,Ridge,0,1,1168,0.18332782344778698,0.11285495022561966
D_huber_keep_all,Huber,0,2,1168,0.13319452825502603,0.13319452825502603
E_partial_area_int,ElasticNet,0,2,1168,0.11132039792880098,0.11132039792880098
E_partial_area_int,Ridge,0,2,1168,0.11924085740498594,0.11924085740498594
D_huber_keep_all,Huber,0,3,1168,0.20029433964611779,0.20029433964611779
E_partial_area_int,ElasticNet,0,3,1168,0.17693551250450937,0.17693551250450937
E_partial_area_int,Ridge,0,3,1168,0.1735890249982929,0.1735890249982929
D_huber_keep_all,Huber,0,4,1168,0.12655977093410783,0.12655977093410783
E_partial_area_int,ElasticNet,0,4,1168,0.1205380414233829,0.1205380414233829
E_partial_area_int,Ridge,0,4,1168,0.11887878924611998,0.11887878924611998
D_huber_keep_all,Huber,0,5,1168,0.10731146876249785,0.10731146876249785
E_partial_area_int,ElasticNet,0,5,1168,0.10988443219453387,0.10988443219453387
E_partial_area_int,Ridge,0,5,1168,0.1108555405214053,0.1108555405214053
D_huber_keep_all,Huber,4,1,1168,0.1438112247438023,0.1438112247438023
E_partial_area_int,ElasticNet,4,1,1168,0.11410229302036069,0.11410229302036069
E_partial_area_int,Ridge,4,1,1168,0.11465448647464979,0.11465448647464979
D_huber_keep_all,Huber,4,2,1168,0.12221357744624005,0.12221357744624005
E_partial_area_int,ElasticNet,4,2,1168,0.12109416731976831,0.12109416731976831
E_partial_area_int,Ridge,4,2,1168,0.12294224452047413,0.12294224452047413
D_huber_keep_all,Huber,4,3,1168,0.2266644872166346,0.1620785119986322
E_partial_area_int,ElasticNet,4,3,1168,0.2348045529420341,0.16316249987621861
E_partial_area_int,Ridge,4,3,1168,0.22959867178778787,0.16172003811874253
D_huber_keep_all,Huber,4,4,1168,0.1607580813052268,0.1607580813052268
E_partial_area_int,ElasticNet,4,4,1168,0.11625883303783083,0.11625883303783083
E_partial_area_int,Ridge,4,4,1168,0.11708323591502406,0.11708323591502406
D_huber_keep_all,Huber,4,5,1168,0.12046664780994332,0.12046664780994332
E_partial_area_int,ElasticNet,4,5,1168,0.10948643592391843,0.10948643592391843
E_partial_area_int,Ridge,4,5,1168,0.11088306031032241,0.11088306031032241
D_huber_keep_all,Huber,42,1,1168,0.13273723403774573,0.13273723403774573
E_partial_area_int,ElasticNet,42,1,1168,0.13428327905039275,0.13428327905039275
E_partial_area_int,Ridge,42,1,1168,0.13286813223671262,0.13286813223671262
D_huber_keep_all,Huber,42,2,1168,0.12705411084993656,0.12705411084993656
E_partial_area_int,ElasticNet,42,2,1168,0.12397713143870982,0.12397713143870982
E_partial_area_int,Ridge,42,2,1168,0.12819338331667626,0.12819338331667626
D_huber_keep_all,Huber,42,3,1168,0.22700707230027065,0.15271693893032717
E_partial_area_int,ElasticNet,42,3,1168,0.23671749083117985,0.15630634171980287
E_partial_area_int,Ridge,42,3,1168,0.233083052985225,0.1533138939156081
D_huber_keep_all,Huber,42,4,1168,0.15670842329331422,0.15670842329331422
E_partial_area_int,ElasticNet,42,4,1168,0.12023685255471363,0.12023685255471363
E_partial_area_int,Ridge,42,4,1168,0.12381902096728821,0.12381902096728821
D_huber_keep_all,Huber,42,5,1168,0.11225873585436318,0.11225873585436318
E_partial_area_int,ElasticNet,42,5,1168,0.11034497396683031,0.11034497396683031
E_partial_area_int,Ridge,42,5,1168,0.11476667529886045,0.11476667529886045
