variant,model,outer_seed,outer_fold,n_train,rmse,rmse_excl_1299
A_keep_all,Ridge,0,1,1168,0.18779717273932633,0.11267770895049661
A_keep_all,ElasticNet,0,1,1168,0.19326110278473577,0.11451351159074939
B_drop2_partial,Ridge,0,1,1167,0.20577238920059532,0.11255983677973906
B_drop2_partial,ElasticNet,0,1,1167,0.20426353596301045,0.11205006028059442
C_drop4_area,Ridge,0,1,1166,0.20595194529041946,0.11273239692638531
C_drop4_area,ElasticNet,0,1,1166,0.20674728718670096,0.112434547433049
A_keep_all,Ridge,0,2,1168,0.11606251271331451,0.11606251271331451
A_keep_all,ElasticNet,0,2,1168,0.10855616338119464,0.10855616338119464
B_drop2_partial,Ridge,0,2,1166,0.10622355160527841,0.10622355160527841
B_drop2_partial,ElasticNet,0,2,1166,0.10541264153853856,0.10541264153853856
C_drop4_area,Ridge,0,2,1164,0.10620587341919074,0.10620587341919074
C_drop4_area,ElasticNet,0,2,1164,0.10541891110643108,0.10541891110643108
A_keep_all,Ridge,0,3,1168,0.18043246832146778,0.18043246832146778
A_keep_all,ElasticNet,0,3,1168,0.17698694856076805,0.17698694856076805
B_drop2_partial,Ridge,0,3,1167,0.1790528303557503,0.1790528303557503
B_drop2_partial,ElasticNet,0,3,1167,0.1804438829412562,0.1804438829412562
C_drop4_area,Ridge,0,3,1165,0.1796392207757307,0.1796392207757307
C_drop4_area,ElasticNet,0,3,1165,0.1807015748369152,0.1807015748369152
A_keep_all,Ridge,0,4,1168,0.11779369752714616,0.11779369752714616
A_keep_all,ElasticNet,0,4,1168,0.1193387121105651,0.1193387121105651
B_drop2_partial,Ridge,0,4,1166,0.10785816010005243,0.10785816010005243
B_drop2_partial,ElasticNet,0,4,1166,0.1060352337493039,0.1060352337493039
C_drop4_area,Ridge,0,4,1165,0.10731074647538075,0.10731074647538075
C_drop4_area,ElasticNet,0,4,1165,0.10596469609562516,0.10596469609562516
A_keep_all,Ridge,0,5,1168,0.11535061879150066,0.11535061879150066
A_keep_all,ElasticNet,0,5,1168,0.10954408028053679,0.10954408028053679
B_drop2_partial,Ridge,0,5,1166,0.10415120699188693,0.10415120699188693
B_drop2_partial,ElasticNet,0,5,1166,0.10228222702243224,0.10228222702243224
C_drop4_area,Ridge,0,5,1164,0.10418211299577769,0.10418211299577769
C_drop4_area,ElasticNet,0,5,1164,0.10174194835026319,0.10174194835026319
A_keep_all,Ridge,4,1,1168,0.11734404071172018,0.11734404071172018
A_keep_all,ElasticNet,4,1,1168,0.11679363314415851,0.11679363314415851
B_drop2_partial,Ridge,4,1,1166,0.1069757076776891,0.1069757076776891
B_drop2_partial,ElasticNet,4,1,1166,0.10723144399482121,0.10723144399482121
C_drop4_area,Ridge,4,1,1164,0.1073614618390042,0.1073614618390042
C_drop4_area,ElasticNet,4,1,1164,0.10733182517303737,0.10733182517303737
A_keep_all,Ridge,4,2,1168,0.12701084334429402,0.12701084334429402
A_keep_all,ElasticNet,4,2,1168,0.12137631802691871,0.12137631802691871
B_drop2_partial,Ridge,4,2,1166,0.11772971392796591,0.11772971392796591
B_drop2_partial,ElasticNet,4,2,1166,0.11476360260459505,0.11476360260459505
C_drop4_area,Ridge,4,2,1164,0.11779990960167376,0.11779990960167376
C_drop4_area,ElasticNet,4,2,1164,0.11482429039191355,0.11482429039191355
A_keep_all,Ridge,4,3,1168,0.226814138490946,0.16063431918841653
A_keep_all,ElasticNet,4,3,1168,0.22911637520215353,0.16081032949027005
B_drop2_partial,Ridge,4,3,1168,0.226814138490946,0.16063431918841653
B_drop2_partial,ElasticNet,4,3,1168,0.22911637520215353,0.16081032949027005
C_drop4_area,Ridge,4,3,1166,0.22659791380209687,0.16060913044764633
C_drop4_area,ElasticNet,4,3,1166,0.2306281789619908,0.162372902667268
A_keep_all,Ridge,4,4,1168,0.12298432952221722,0.12298432952221722
A_keep_all,ElasticNet,4,4,1168,0.11740815118811383,0.11740815118811383
B_drop2_partial,Ridge,4,4,1166,0.11127174639241362,0.11127174639241362
B_drop2_partial,ElasticNet,4,4,1166,0.10978138700826354,0.10978138700826354
C_drop4_area,Ridge,4,4,1165,0.11127954330716612,0.11127954330716612
C_drop4_area,ElasticNet,4,4,1165,0.1103370145335985,0.1103370145335985
A_keep_all,Ridge,4,5,1168,0.11017871866103078,0.11017871866103078
A_keep_all,ElasticNet,4,5,1168,0.10873374094110409,0.10873374094110409
B_drop2_partial,Ridge,4,5,1166,0.10397439338638721,0.10397439338638721
B_drop2_partial,ElasticNet,4,5,1166,0.10305213835893542,0.10305213835893542
C_drop4_area,Ridge,4,5,1165,0.10395346118321622,0.10395346118321622
C_drop4_area,ElasticNet,4,5,1165,0.10304460794605476,0.10304460794605476
A_keep_all,Ridge,42,1,1168,0.13633685530254305,0.13633685530254305
A_keep_all,ElasticNet,42,1,1168,0.1375042605680557,0.1375042605680557
B_drop2_partial,Ridge,42,1,1166,0.12749263113217632,0.12749263113217632
B_drop2_partial,ElasticNet,42,1,1166,0.12665661702916725,0.12665661702916725
C_drop4_area,Ridge,42,1,1165,0.12567371841713876,0.12567371841713876
C_drop4_area,ElasticNet,42,1,1165,0.12662878942657255,0.12662878942657255
A_keep_all,Ridge,42,2,1168,0.13074152890141522,0.13074152890141522
A_keep_all,ElasticNet,42,2,1168,0.12271915584433502,0.12271915584433502
B_drop2_partial,Ridge,42,2,1166,0.11181722036712766,0.11181722036712766
